34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:41:04.0 (105922)|USER_INFO|[EXTERNAL]|0051U0000041CSU|tw@compliance.com|Central Standard Time|GMT-05:00
12:41:04.0 (161967)|EXECUTION_STARTED
12:41:04.0 (169097)|CODE_UNIT_STARTED|[EXTERNAL]|01p1U00000Pa1pB|UpdateTicketDate
12:41:04.0 (923117)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:41:04.0 (962733)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:41:04.0 (970865)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:41:04.0 (994999)|METHOD_ENTRY|[1]|01p1U00000Pa1pB|UpdateTicketDate.UpdateTicketDate()
12:41:04.0 (1011276)|STATEMENT_EXECUTE|[1]
12:41:04.0 (1020669)|STATEMENT_EXECUTE|[1]
12:41:04.0 (1032294)|METHOD_EXIT|[1]|UpdateTicketDate
12:41:04.0 (1127360)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:41:04.0 (1136261)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:41:04.0 (1264448)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:72
12:41:04.0 (1277541)|VARIABLE_SCOPE_BEGIN|[16]|this|UpdateTicketDate|true|false
12:41:04.0 (1339519)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x48201ec5
12:41:04.0 (1353925)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
12:41:04.0 (1679990)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"7071U00001AJ6V6QAL","jobId":"7071U00001AJ6I9QAL"}|0x48308672
12:41:04.0 (1707860)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<SObject>|true|false
12:41:04.0 (1761354)|VARIABLE_ASSIGNMENT|[16]|scope|"List of size 17 too large to display"|0x2138fac0
12:41:04.0 (1800264)|STATEMENT_EXECUTE|[16]
12:41:04.0 (1804454)|STATEMENT_EXECUTE|[18]
12:41:04.0 (1841523)|HEAP_ALLOCATE|[18]|Bytes:4
12:41:04.0 (2336205)|VARIABLE_SCOPE_BEGIN|[18]|combObjLst|List<Complaint__c>|true|false
12:41:04.0 (2385759)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:41:04.0 (2416615)|VARIABLE_ASSIGNMENT|[18]|combObjLst|[]|0x2c92543d
12:41:04.0 (2433968)|STATEMENT_EXECUTE|[19]
12:41:04.0 (2454136)|HEAP_ALLOCATE|[19]|Bytes:9
12:41:04.0 (3238232)|HEAP_ALLOCATE|[19]|Bytes:635
12:41:04.0 (3341341)|HEAP_ALLOCATE|[19]|Bytes:644
12:41:04.0 (3394524)|HEAP_ALLOCATE|[50]|Bytes:5
12:41:04.0 (3442454)|HEAP_ALLOCATE|[56]|Bytes:5
12:41:04.0 (3472694)|HEAP_ALLOCATE|[64]|Bytes:7
12:41:04.0 (3538273)|USER_DEBUG|[19]|DEBUG|scope----(Complaint__c:{Id=a011U00000KA7rgQAD, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000K9xvMQAR, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000K9xvCQAR, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000KAIR0QAP, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000KAIRAQA5, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000KAF3RQAX, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000KAF2iQAH, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000LyLZRQA3, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000JLQhVQAX, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000K7qb4QAB, Default_Set__c=batchjob}, ...)
12:41:04.0 (3850317)|HEAP_ALLOCATE|[20]|Bytes:5
12:41:04.0 (3902872)|HEAP_ALLOCATE|[20]|Bytes:12
12:41:04.0 (3933140)|VARIABLE_SCOPE_BEGIN|[20]|compObj|SObject|true|false
12:41:04.0 (3980869)|VARIABLE_ASSIGNMENT|[20]|compObj|{"Id":"a011U00000KA7rgQAD","Default_Set__c":"batchjob"}|0x3088b543
12:41:04.0 (3996399)|STATEMENT_EXECUTE|[20]
12:41:04.0 (4001903)|STATEMENT_EXECUTE|[21]
12:41:04.0 (4033774)|HEAP_ALLOCATE|[21]|Bytes:4
12:41:04.0 (4192559)|VARIABLE_SCOPE_BEGIN|[21]|test|Complaint__c|true|false
12:41:04.0 (4215593)|VARIABLE_ASSIGNMENT|[21]|test|{}|0x1086bbee
12:41:04.0 (4229337)|STATEMENT_EXECUTE|[22]
12:41:04.0 (4336374)|VARIABLE_ASSIGNMENT|[22]|this.Id|"a011U00000KA7rgQAD"|0x1086bbee
