34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:34:53.0 (427848)|USER_INFO|[EXTERNAL]|0051U0000041CSU|tw@compliance.com|Central Standard Time|GMT-05:00
11:34:53.0 (495584)|EXECUTION_STARTED
11:34:53.0 (511337)|CODE_UNIT_STARTED|[EXTERNAL]|01p1U00000Pa1pB|UpdateTicketDate
11:34:53.0 (4245144)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:34:53.0 (7037205)|HEAP_ALLOCATE|[72]|Bytes:3
11:34:53.0 (7100194)|HEAP_ALLOCATE|[77]|Bytes:152
11:34:53.0 (7124139)|HEAP_ALLOCATE|[342]|Bytes:408
11:34:53.0 (7151007)|HEAP_ALLOCATE|[355]|Bytes:408
11:34:53.0 (7173265)|HEAP_ALLOCATE|[467]|Bytes:48
11:34:53.0 (7208916)|HEAP_ALLOCATE|[139]|Bytes:6
11:34:53.0 (7276610)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
11:34:53.0 (7302486)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
11:34:53.0 (7313812)|STATEMENT_EXECUTE|[15]
11:34:53.0 (7323486)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
11:34:53.0 (7335179)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:34:53.0 (7341421)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:34:53.0 (7348402)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:34:53.0 (7362492)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
11:34:53.0 (7537623)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x4fc462c
11:34:53.0 (7550503)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
11:34:53.0 (7777362)|VARIABLE_ASSIGNMENT|[31]|jobId|"7071U00001AIuWCQA1"
11:34:53.0 (7789190)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
11:34:53.0 (7831821)|VARIABLE_ASSIGNMENT|[31]|childJobId|"7071U00001AIuW3QAL"
11:34:53.0 (15029238)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:72
11:34:53.195 (195466984)|CUMULATIVE_LIMIT_USAGE
11:34:53.195 (195466984)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 200
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 60000
  Maximum heap size: 0 out of 12000000
  Number of callouts: 0 out of 0
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 0
  Number of queueable jobs added to the queue: 0 out of 1
  Number of Mobile Apex push calls: 0 out of 10

11:34:53.195 (195466984)|CUMULATIVE_LIMIT_USAGE_END

11:34:53.0 (195541664)|CODE_UNIT_FINISHED|UpdateTicketDate
11:34:53.0 (196754408)|EXECUTION_FINISHED
omplaint__c:{Id=a011U00000KAIR0QAP, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000KAIRAQA5, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000KAF3RQAX, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000KAF2iQAH, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000LyLZRQA3, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000JLQhVQAX, Default_Set__c=batchjob}, Complaint__c:{Id=a011U00000K7qb4QAB, Default_Set__c=batchjob}, ...)
11:34:53.0 (2586877)|HEAP_ALLOCATE|[20]|Bytes:5
11:34:53.0 (2620773)|HEAP_ALLOCATE|[20]|Bytes:12
11:34:53.0 (2635675)|VARIABLE_SCOPE_BEGIN|[20]|compObj|Complaint__c|true|false
11:34:53.0 (2685417)|VARIABLE_ASSIGNMENT|[20]|compObj|{"Id":"a011U00000KA7rgQAD","Default_Set__c":"batchjob"}|0x508c6f14
11:34:53.0 (2699190)|STATEMENT_EXECUTE|[20]
11:34:53.0 (2702706)|STATEMENT_EXECUTE|[21]
11:34:53.0 (2707384)|HEAP_ALLOCATE|[21]|Bytes:8
11:34:53.0 (2832692)|VARIABLE_ASSIGNMENT|[21]|this.Default_Set__c|"batchjob"|0x508c6f14
11:34:53.0 (2845971)|STATEMENT_EXECUTE|[22]
11:34:53.0 (2903917)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:34:53.0 (2930178)|HEAP_ALLOCATE|[20]|Bytes:5
11:34:53.0 (2948859)|HEAP_ALLOCATE|[20]|Bytes:12
11:34:53.0 (2972851)|VARIABLE_SCOPE_BEGIN|[20]|compObj|Complaint__c|true|false
11:34:53.0 (3003030)|VARIABLE_ASSIGNMENT|[20]|compObj|{"Id":"a011U00000K9xvMQAR","Default_Set__c":"batchjob"}|0x51ab590d
11:34:53.0 (3014487)|STATEMENT_EXECUTE|[20]
11:34:53.0 (3019494)|STATEMENT_EXECUTE|[21]
11:34:53.0 (3074720)|VARIABLE_ASSIGNMENT|[21]|this.Default_Set__c|"batchjob"|0x51ab590d
11:34:53.0 (3085037)|STATEMENT_EXECUTE|[22]
11:34:53.0 (3097912)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:34:53.0 (3117857)|HEAP_ALLOCATE|[20]|Bytes:5
11:34:53.0 (3131753)|HEAP_ALLOCATE|[20]|Bytes:12
11:34:53.0 (3141420)|VARIABLE_SCOPE_BEGIN|[20]|compObj|Complaint__c|true|false
