34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:43:44.0 (68616)|USER_INFO|[EXTERNAL]|0051U0000041CSU|tw@compliance.com|Central Standard Time|GMT-05:00
11:43:44.0 (102625)|EXECUTION_STARTED
11:43:44.0 (109147)|CODE_UNIT_STARTED|[EXTERNAL]|01p1U00000Pa1pB|UpdateTicketDate
11:43:44.0 (828559)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
11:43:44.0 (860677)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
11:43:44.0 (865900)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:43:44.0 (881693)|METHOD_ENTRY|[1]|01p1U00000Pa1pB|UpdateTicketDate.UpdateTicketDate()
11:43:44.0 (891041)|STATEMENT_EXECUTE|[1]
11:43:44.0 (898422)|STATEMENT_EXECUTE|[1]
11:43:44.0 (905208)|METHOD_EXIT|[1]|UpdateTicketDate
11:43:44.0 (911707)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:43:44.0 (916915)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:43:44.0 (992945)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:72
11:43:44.0 (1003830)|VARIABLE_SCOPE_BEGIN|[16]|this|UpdateTicketDate|true|false
11:43:44.0 (1053815)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x685b2c33
11:43:44.0 (1060678)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
11:43:44.0 (1204479)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"7071U00001AIvzOQAT","jobId":"7071U00001AIvL8QAL"}|0x3931a048
11:43:44.0 (1213053)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<SObject>|true|false
11:43:44.0 (1232357)|VARIABLE_ASSIGNMENT|[16]|scope|"List of size 17 too large to display"|0x24b3bc82
11:43:44.0 (1245724)|STATEMENT_EXECUTE|[16]
11:43:44.0 (1248416)|STATEMENT_EXECUTE|[18]
