34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:46:04.0 (78660)|USER_INFO|[EXTERNAL]|0051U0000041CSU|tw@compliance.com|Central Standard Time|GMT-05:00
11:46:04.0 (119891)|EXECUTION_STARTED
11:46:04.0 (126590)|CODE_UNIT_STARTED|[EXTERNAL]|01p1U00000Pa1pB|UpdateTicketDate
11:46:04.0 (790541)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
11:46:04.0 (824880)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
11:46:04.0 (830181)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:46:04.0 (848611)|METHOD_ENTRY|[1]|01p1U00000Pa1pB|UpdateTicketDate.UpdateTicketDate()
11:46:04.0 (857588)|STATEMENT_EXECUTE|[1]
11:46:04.0 (867433)|STATEMENT_EXECUTE|[1]
11:46:04.0 (876091)|METHOD_EXIT|[1]|UpdateTicketDate
11:46:04.0 (885845)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:46:04.0 (890593)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:46:04.0 (978300)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:72
11:46:04.0 (990231)|VARIABLE_SCOPE_BEGIN|[16]|this|UpdateTicketDate|true|false
11:46:04.0 (1051903)|VARIABLE_ASSIGNMENT|[16]|this|{}|0x12cb0293
11:46:04.0 (1062617)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
11:46:04.0 (1268871)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"7071U00001AIwPuQAL","jobId":"7071U00001AIwYoQAL"}|0x655d9910
11:46:04.0 (1280398)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<SObject>|true|false
11:46:04.0 (1309944)|VARIABLE_ASSIGNMENT|[16]|scope|"List of size 17 too large to display"|0x2fcb87ea
11:46:04.0 (1327715)|STATEMENT_EXECUTE|[16]
11:46:04.0 (1330477)|STATEMENT_EXECUTE|[18]
11:46:04.0 (1351375)|HEAP_ALLOCATE|[18]|Bytes:4
