34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:21:10.0 (134240)|USER_INFO|[EXTERNAL]|0051U0000041CSU|tw@compliance.com|Central Standard Time|GMT-05:00
10:21:10.0 (180649)|EXECUTION_STARTED
10:21:10.0 (188473)|CODE_UNIT_STARTED|[EXTERNAL]|01p1U00000Pa1pB|UpdateTicketDate
10:21:10.0 (850148)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
10:21:10.0 (892062)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
10:21:10.0 (898872)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:21:10.0 (923931)|METHOD_ENTRY|[1]|01p1U00000Pa1pB|UpdateTicketDate.UpdateTicketDate()
10:21:10.0 (932136)|STATEMENT_EXECUTE|[1]
10:21:10.0 (938184)|STATEMENT_EXECUTE|[1]
10:21:10.0 (944961)|METHOD_EXIT|[1]|UpdateTicketDate
10:21:10.0 (954003)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:21:10.0 (959014)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:21:10.0 (1047044)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:804
10:21:10.0 (1095093)|VARIABLE_SCOPE_BEGIN|[17]|this|UpdateTicketDate|true|false
10:21:10.0 (1164503)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x54090d5e
10:21:10.0 (1173953)|VARIABLE_SCOPE_BEGIN|[17]|BC|Database.BatchableContext|true|false
10:21:10.0 (1350525)|VARIABLE_ASSIGNMENT|[17]|BC|{"childJobId":"7071U00001JBF26QAH","jobId":"7071U00001JBF6QQAX"}|0x47a7698e
10:21:10.0 (1364357)|VARIABLE_SCOPE_BEGIN|[17]|scope|List<SObject>|true|false
10:21:10.0 (1397004)|VARIABLE_ASSIGNMENT|[17]|scope|"List of size 200 too large to display"|0x4ce42b35
10:21:10.0 (1415509)|STATEMENT_EXECUTE|[17]
10:21:10.0 (1419523)|STATEMENT_EXECUTE|[19]
10:21:10.0 (1441502)|HEAP_ALLOCATE|[19]|Bytes:4
10:21:10.0 (1551399)|VARIABLE_SCOPE_BEGIN|[19]|combObjLst|List<Complaint__c>|true|false
10:21:10.0 (1567442)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:21:10.0 (1583845)|VARIABLE_ASSIGNMENT|[19]|combObjLst|[]|0x2b66a49
10:21:10.0 (1592701)|STATEMENT_EXECUTE|[20]
